A	Agilent Technologies
AA	Alcoa Inc.
AAN	Aaron's Inc.
AAP	Advance Auto Parts Inc
AAT	American Assets Trust
AAV	Advantage Oil & Gas Ltd
AB	Alliance Capital Management L.P.
ABB	Abb Ltd
ABC	Amerisourcebergen Corporation
ABG	Asbury Automotive Group Inc
ABH	Abitibibowater Inc
ABM	Abm Industries Incorporated
ABR	Arbor Realty Trust
ABT	Abbott Laboratories
ABV	Companhia De Bebidas - Ambev
ABV.C	Companhia De Bebidas - Ambev
ABVT	Abovenet Inc
ABW-A	Asbc Capital I 7.625
ABW-B	Associated Banc-Corp Depositary
ABX	Barrick Gold Corp.
ACC	American Campus Communities Inc
ACCO	Acco Brands Corp.
ACE	Ace Limited
ACG	Alliancebernstein Income Fund Inc
ACH	Aluminum Corporation Of China Ltd
ACI	Arch Coal
ACM	Aecom Technology Corp.
ACN	Accenture Plc.
ACO	Amcol International Corp.
ACP	Avenue Income Credit Strategies
ACRE	Ares Commercial Real Estate Cor
ACTV	Active Network Inc
ACW	Accuride Corporation New
ADC	Agree Realty Corp.
ADM	Archer-Daniels-Midland Company
ADS	Alliance Data Systems Corp.
ADX	Adams Express Company
ADY	Feihe International
AEB	Aegon Nv
AEC	Associated Estates Realty Corp.
AED	Aegon Nv
AEE	Ameren Corp.
AEF	Aegon Nv
AEG	Aegon Nv
AEH	Aegon Nv
AEK	Aegon N.V. 8.00%
AEL	American Equity Investment Life
AEM	Agnico-Eagle Mines Limited
AEO	American Eagle Outfitters
AEP	American Electric Power Company
AEP-A	Aep Pfd A
AER	Aercap Holdings N.V.
AES	The Aes Corp.
AES-C	Aes TR III 6.75 Pfd
AET	Aetna Inc.
AEV	Aegon Nv
AF	Astoria Financial Corp.
AFB	Alliance National Municipal
AFC	Allied Capital Corp.
AFE	American Financial Group
AFF	American International Group
AFG	American Financial Group
AFL	Aflac Incorporated
AFQ	American Financial Group
AFT	Apollo Senior Floating Rate Fund Inc.
AG	First Majestic Silver
AGC	Advent Claymore Convertible Securities
AGCO	Agco Corp.
AGD	Alpine Global Dynamic Dividend Fund
AGM	Federal Agricultural Mortgage Corp.
AGM.A	Federal Agricultural Mortgage Corp.
AGN	Allergan
AGO	Assured Guaranty Ltd
AGO-B	Assured Guaranty Ltd [B]
AGO-E	Assured Guaranty Ltd [E]
AGO-F	Assured Guaranty Ltd [F]
AGP	Amerigroup Corp.
AGRO	Adecoagro S.A.
AGU	Agrium Inc.
AH	Accretive Health
AHC	A.H. Belo Corp.
AHL	Aspen Insurance Holdings
AHL-A	Aspen Insurance Pfd
AHL.P	Aspen Ins Pfd Inc
AHS	Amn Healthcare Services Inc
AHT	Ashford Hospitality Trust Inc
AHT-A	Ashford Hsop TR Pfd
AHT-D	Ashford Hosp D Pfd
AHT-E	Ashford Hospitality Trust Inc 9
AI	Arlington Asset Investment Corp
AIG	American International Group
AIG.W	American International Group
AIN	Albany International Corp.
AIQ	Alliance Healthcare Services
AIR	Aar
AIT	Applied Industrial Technologies
AIV	Apartment Investment And Management
AIV-T	Apartment Investment And Manage
AIV-U	Apt Inv Mgmt Pfd U
AIV-V	Apartment Invt
AIV-Y	Apartment Inv Mgt Co
AIV-Z	Apartment Inv. & Mgt. Co.
AIZ	Assurant
AJG	Arthur J. Gallagher & Co.
AKO.A	Embotell Andina Sa A
AKO.B	Embotell Andna Sa B
AKP	Alliance California Muni
AKR	Acadia Realty Trust
AKS	Ak Steel Holding Corp.
AL	Air Lease Corporation Class A C
ALB	Albemarle Corp.
ALC	Assisted Living Concepts Inc.
ALE	Allete
ALEX	Alexander & Baldwin
ALG	Alamo Group
ALJ	Alon USA Energy
ALK	Alaska Air Group
ALL	Allstate Corporation
ALL-A	Gmac Capital Trust I Fixed Rate
ALL-B	Ally Financial Inc Fixed Rate F
ALP-N	Alabama Pwr 5.2A Pfd
ALP-O	Alabama Pwr 5.83A Pf
ALP-P	Alabama Power 5.30 A
ALR	Alere Inc.
ALR-B	Alere Inc. Inverness Medical In
ALSN	Allison Transmission Holdings
ALU	Alcatel Lucent
ALV	Autoliv
ALX	Alexander's
AM	American Greetings Corp.
AMBO	Ambow Education
AMD	Advanced Micro Devices
AME	Amtek
AMG	Affiliated Managers Group
AMID	American Midstreampartners Lp
AMP	Ameriprise Financial Services
AMP-A	Ameriprise Financial
AMRC	Ameresco Inc
AMT	American Tower Corp.
AMTD	TD Ameritrade Holding Corp.
AMTG	Apollo Residential Mortgage In
AMX	America Movil S.A.B. De C.V.
AN	Autonation
ANF	Abercrombie & Fitch Company
ANH	Anworth Mortgage Asset Corp.
ANH-A	Anworth Mtg Pfd A
ANH-B	Anworth 6.25 Pr S B
ANN	Ann Inc
ANR	Alpha Natural Resources
ANW	Aegean Marine Petroleum Network
AOD	Alpine Total Dynamic Dividend
AOI	Alliance One International
AOL	Aol Inc.
AON	Aon Plc
AOS	Smith [A.O.] Corp.
AP	Ampco-Pittsburgh Corp.
APA	Apache Corp.
APA-D	Apache Corporation
APB	Asia Pacific Fund Inc.
APC	Anadarko Petroleum Corp.
APD	Air Products And Chemicals
APF	Morgan Stanley Asia Pacific Fund Inc.
APH	Amphenol Corp.
APL	Atlas Pipeline Partners L.P.
APO	Apollo Global Management Llc C
APU	Amerigas Partners L.P.
ARB	Arbitron Inc.
ARC	American Reprographics Company
ARCO	Arcos Dorados Holdings Inc
ARE	Alexandria Real Estate Equities
ARG	Airgas
ARI	Apollo Commercial Real Estate
ARK	Senior High Income Portfolio
ARL	American Realty Investors
ARN	Ares Capital Corporation 7.00%
ARO	Aeropostale Inc
ARP	Atlas Resource Partners L.P. C
ARR	Armour Residential R
ARSD	Arabian American Development
ART	Artio Global Investors Inc.
ARW	Arrow Electronics
ARX	Aeroflex Holding
ARY	Ares Capital Corp.
ASA	Asa Gold And Precious Metals
ASG	Liberty All-Star Growth Fund
ASH	Ashland Inc.
ASI	American Safety Insurance Holdings
ASP	American Strategic Income Portfolio
ASR	Grupo Aeroportuario Del Sureste
ASX	Advanced Semiconductor Engineering
AT	Atlantic Power Corp.
ATE	Advantest Corporation Ads
ATI	Allegheny Technologies Inc.
ATK	Alliant Techsystems Inc.
ATLS	Atlas Energy Llc
ATO	Atmos Energy Corp.
ATR	Aptargroup
ATU	Actuant Corp.
ATV	Acorn International
ATW	Atwood Oceanics
AU	Anglogold Ashanti Ltd
AU-A	Anglogold Ashanti Holdings Fin
AUO	Au Optronics Corp
AUQ	Aurico Gold Inc
AUY	Yamana Gold
AV	Aviva Plc
AVA	Avista Corp.
AVB	Avalonbay Communities
AVD	American Vanguard Corp.
AVF	American International Group
AVG	Avg Technologies N.V.
AVK	Advent Claymore Convertible Securities
AVP	Avon Products
AVT	Avnet
AVV	Aviva Plc
AVX	Avx Corp.
AVY	Avery Dennison Corp.
AWC	Alumina Ltd
AWF	Alliance World Dollar Fund Ii
AWH	Allied World Assurance Company
AWI	Armstrong World Industries Inc
AWK	American Water Works
AWP	Alpine Global Premier Properties
AWR	American States Water Company
AXE	Anixter International Inc.
AXL	American Axle & Manufacturing
AXP	American Express Company
AXR	Amrep Corp.
AXS	Axis Capital Holdings
AXS-A	Axis Capital Pfd A
AYI	Acuity Brands Inc
AYN	Alliance New York Muni
AYR	Aircastle Limited
AZN	Astrazeneca Plc
AZO	Autozone
AZZ	Azz Inc.
B	Barnes Group
BA	Boeing Company
BAC	Bank Of America Corp.
BAC-B	Bac Cap Trust X
BAC-C	Bac Capital TR Xii
BAC-D	Bac Dep Share D
BAC-E	Bank Amer Corp Dep R
BAC-H	Bank Amer Corp Pfd H
BAC-I	Bank Amer Corp Pfd
BAC-J	Bank Of America Pfd
BAC-L	Bank Amer Pfd Ser L
BAC-U	Bac Cap TR IV
BAC-V	Bac Capital Trust Ii
BAC-W	Bac Capital Trust I
BAC-X	Bac Cap TR III
BAC-Y	Bac Cap TR V 6% Cap
BAC-Z	Bac Cap TR ViII
BAC.A	Bank Of America Corporation Bac
BAC.B	Bank Of America Corporation Bac
BAF	Blackrock Income Inv Quality Trust
BAH	Booz Allen Hamilton Holding Corp.
BAK	Copene-Petroquimica Do Nordeste
BALT	Baltic Trading Limited
BAM	Brookfield Asset Management Inc
BAP	Credicorp Ltd
BAS	Basic Energy Services
BAX	Baxter International Inc.
BBD	Banco Bradesco Sa
BBDO	Banco Bradesco S.A.
BBF	Blackrock Muni Income Trust
BBG	Bill Barrett Corp.
BBK	Blackrock Muni Trust
BBL	Bhp Billiton Plc
BBN	Balckrock Build America Trust
BBT	BB&T Corp.
BBT-A	BB&T Capital Trust V Enhanced T
BBT-B	BB&T Capital Trst Vi
BBT-C	BB&T Capital Trust V
BBVA	Banco Bilbao Viscaya Argentaria S.A.
BBW	Build-A-Bear Workshop
BBX	Bankatlantic Bancorp
BBY	Best Buy Co.
BC	Brunswick Corp.
BCA	Corpbanca
BCE	Bce
BCEI	Bonanza Creek Energy Inc.
BCF	Blackrock Real Asset Equity Trust
BCH	Banco De Chile
BCO	Brink's Company
BCR	C.R. Bard
BCS	Barclays Plc
BCS-A	Barclays Ads
BCS-C	Barclays Bank 4 Ads
BCS-D	Barclays Bank Plc
BCS.P	Barclays Bk Adr Sr 2
BCX	Blackrock Resources Common Shar
BDC	Belden Inc
BDJ	Blackrock Enhanced Dividend Achievers
BDN	Brandywine Realty Trust
BDN-D	Brandywine Rly Pfd D
BDX	Becton Dickinson And Company
BEAM	Beam Inc
BEE	Strategic Hotels & Resorts Inc
BEE-A	Strategic Hotels A
BEE-B	Strategic Hotel Pf B
BEE-C	Strategic H&R Srs C
BEN	Franklin Resources
BF.A	Brown Forman Inc A
BF.B	Brown Forman Inc B
BFK	Blackrock Muni Income Trust
BFO	Blackrock Florida Muni 2020 Trust
BFR	Bbva Banco Frances S.A.
BFS	Saul Centers
BFS-A	Saul Ctrs Dep Pfd A
BFS-B	Soul Centers Pfd Ads
BFZ	Blackrock California Muni Trust
BG	Bunge Limited
BGC	General Cable Corp.
BGE-B	Bge Capital Trust Ii
BGG	Briggs & Stratton Corp.
BGR	Blackrock Energy And Resources Trust
BGS	B&G Foods Holdings
BGT	Blackrock Global
BGX	Blackstone Gso Long Short Credit Fund
BGY	Blackrock International
BH	Biglari Holdings Inc.
BHD	Blackrock Strategic Trust
